index,price,yearCreation,is_numbered,condition_score,movement_clean
186,2000,1935,0,3,Other
187,1000,1935,0,3,Other
188,2000,1940,0,3,Other
189,3000,2003,1,2,Realism
190,5000,1988,1,2,Abstract Expressionism
191,3600,1850,0,2,Realism
192,19200,1892,0,2,Impressionism
193,4000,2007,1,2,Expressionism
194,2250,1976,1,2,Pop Art
195,1000,2012,0,2,Pop Art
196,15000,1947,0,1,Realism
197,10000,1993,1,3,Conceptual 
198,3000,2010,0,2,Conceptual 
199,28000,2021,0,3,Abstract
200,32000,2021,0,3,Abstract
201,3000,2014,1,2,Geometric Abstraction
202,8500,1995,0,2,Realism
203,15000,1980,1,2,Other
204,7500,2007,0,2,Realism
205,7500,2007,0,2,Realism
206,3500,1990,1,2,Conceptual 
207,3680,2013,1,2,Abstract Expressionism
208,7500,2007,0,2,Realism
209,12000,2010,0,2,Realism
210,3000,1996,1,2,Expressionism
211,5500,2019,1,2,Realism
212,3680,2013,1,2,Abstract Expressionism
213,13000,2010,1,2,Pop Art
214,1840,2014,1,2,Geometric Abstraction
215,54000,1989,0,2,Abstract Expressionism
216,10000,2017,0,1,Pop Art
217,5000,2021,0,3,Pop Art
218,5000,2021,0,3,Abstract
219,2500,2016,0,3,Pop Art
220,20000,2005,0,3,Pop Art
221,25000,2000,0,3,Pop Art
222,24000,2014,0,3,Conceptual 
223,20000,2014,0,3,Conceptual 
224,9000,2001,0,3,Conceptual 
225,9000,2001,0,3,Conceptual 
226,15000,2007,0,3,Conceptual 
227,18000,2006,0,3,Conceptual 
228,25000,1998,0,3,Other
229,5000,2004,0,3,Expressionism
230,25000,1998,0,3,Other
231,14000,2005,0,3,Conceptual 
232,22000,2015,0,3,Conceptual 
233,12000,2018,0,3,Pop Art
234,15000,1994,0,3,Abstract
235,9500,1997,0,3,Conceptual 
236,40000,2018,0,3,Pop Art
237,35000,2014,0,3,Abstract
238,12000,2001,0,3,Abstract
239,15000,2008,0,3,Expressionism
240,15000,2008,0,3,Expressionism
241,1500,2018,0,3,Abstract
242,7500,2013,0,3,Abstract
243,2500,2003,0,3,Realism
244,9000,2016,0,3,Minimalism
245,7960,2015,0,3,Expressionism
246,15000,2020,0,3,Geometric Abstraction
247,45000,1998,1,3,Abstract
248,9500,2008,0,3,Conceptual 
249,3500,2000,1,3,Conceptual 
250,4500,2000,1,3,Conceptual 
251,21000,2018,1,3,Conceptual 
252,4000,2002,0,3,Geometric Abstraction
253,35000,1983,0,3,Abstract Expressionism
254,25000,2008,0,3,Realism
255,7500,2019,0,3,Conceptual 
256,7500,2019,0,3,Conceptual 
257,22500,2018,0,3,Conceptual 
258,12500,1999,1,3,Conceptual 
259,9500,2014,0,3,Abstract
260,32000,1998,0,2,Conceptual 
261,8000,1989,0,3,Conceptual 
262,12000,1850,0,2,Other
263,48000,1991,0,3,Conceptual 
264,11000,2016,0,3,Abstract Expressionism
265,11000,2016,0,3,Abstract Expressionism
266,40000,2016,0,3,Expressionism
267,30000,2016,0,3,Abstract Expressionism
268,11000,2016,0,3,Abstract Expressionism
269,30000,2016,0,3,Abstract Expressionism
270,40000,2016,0,3,Abstract
271,40000,2016,0,3,Abstract
272,6000,2021,0,3,Other
273,6000,2021,0,3,Other
274,19000,2019,0,3,Realism
275,12000,2019,0,3,Other
276,20000,2019,0,3,Surrealism
277,22500,2019,0,3,Realism
278,6000,2021,0,3,Other
279,12000,2020,0,3,Realism
280,20000,2019,0,3,Realism
281,8500,1964,0,1,Other
282,5000,1959,0,3,Realism
283,7000,1965,0,3,Realism
284,10000,1992,1,3,Realism
285,5000,1948,1,3,Realism
286,9500,1950,0,3,Realism
287,15000,1939,0,3,Realism
288,8000,1964,0,3,Realism
289,6000,1984,0,3,Realism
290,8000,1952,0,3,Realism
291,6000,1960,0,3,Realism
292,25000,1930,0,1,Realism
293,50000,1949,0,3,Realism
294,2700,2007,1,3,Pop Art
295,16000,2019,1,3,Pop Art
296,15000,2008,1,3,Pop Art
