,title,artist,price,size,painting type,url,path,material,style,area,original
1616,"Long Lasting Evenings, Paintings",Danielle Van Broekhoven,9310,94.5 x 66.9 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/694685/art/12106811/11169009-SXXBTNHY-7.jpg,saatchi_art_images/1617.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,6322.05,1
1617,"Hooligans 2, Paintings",Wojciech BąBski,18305,55 x 55 in,Print of Street Art Animal Paintings,https://images.saatchiart.com/saatchi/2160833/art/11372553/10434811-UORHAFCI-7.jpg,saatchi_art_images/1618.jpg.jpg,Acrylic on Canvas,Street Art Animal,3025.0,0
1618,"And She Tried To Tame The Hare., Paintings",Daniel Malta,2031,41.3 x 54.3 in,Original Expressionism People Paintings,https://images.saatchiart.com/saatchi/415915/art/9550005/8613107-LDDDFIUL-7.jpg,saatchi_art_images/1619.jpg.jpg,Acrylic on Canvas,Expressionism People,2242.5899999999997,1
1619,"Shapes (Elemental), Paintings",Michelle Louis,4229,67 x 35 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/9302591/8365699-BLDQHOWA-7.jpg,saatchi_art_images/1620.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2345.0,1
1620,"Talisman 4 (Good Luck Charm), Paintings",Michelle Louis,1699,38 x 48 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/4545833/3615671-HSC00001-7.jpg,saatchi_art_images/1621.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,1824.0,1
1621,"God'S Dream, Paintings",Nina Hunter,6590,39.4 x 47.2 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/766669/art/12692637/11754825-KRXZURXA-7.jpg,saatchi_art_images/1622.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,1859.68,1
1622,"Waiting For The Next Trip 3. By Janos Kujbus, Paintings",Peter Vamosi - Vamosiart Group,13529,86.6 x 57.1 in,Print of Figurative Travel Paintings,https://images.saatchiart.com/saatchi/1067223/art/12692295/11754483-FUFIXWLF-7.jpg,saatchi_art_images/1623.jpg.jpg,Oil on Canvas,Figurative Travel,4944.86,0
1623,"Paris Spring Fantasy, Paintings",Elena Sokolova,488,15.7 x 19.7 in,Print of Impressionism Architecture Paintings,https://images.saatchiart.com/saatchi/395292/art/12692077/11754265-XMYUCPCH-7.jpg,saatchi_art_images/1624.jpg.jpg,Oil on Canvas,Impressionism Architecture,309.28999999999996,0
1624,"Wildflower Enchantment, Paintings",Navy Sloth,405,15.7 x 15.7 in,Print of Abstract Floral Paintings,https://images.saatchiart.com/saatchi/2289229/art/12337705/11399901-BEEKAPBD-7.jpg,saatchi_art_images/1625.jpg.jpg,Oil on Canvas,Abstract Floral,246.48999999999998,0
1625,"Organique No.11_p, Paintings",Joanna Pongowska,708,27.6 x 39.4 in,Original Modern Abstract Paintings,https://images.saatchiart.com/saatchi/1045706/art/10198545/9261283-YMWFMPDX-7.jpg,saatchi_art_images/1626.jpg.jpg,Acrylic on Acrylic,Modern Abstract,1087.44,1
1626,"Two Brothers, Paintings",Justin Brennan,11000,45 x 50 in,Original Abstract Family Paintings,https://images.saatchiart.com/saatchi/402775/art/8016138/7083363-HSC00923-7.jpg,saatchi_art_images/1627.jpg.jpg,Oil on Canvas,Abstract Family,2250.0,1
1627,"Pink And Brown System, Paintings",Eric White,250,20 x 16 in,Print of Art Deco Abstract Paintings,https://images.saatchiart.com/saatchi/159485/art/4596727/3666565-HSC00001-7.jpg,saatchi_art_images/1628.jpg.jpg,Oil on Canvas,Art Deco Abstract,320.0,0
1628,"Landscape Xxxii, Paintings",Jacek Malinowski,604,17.7 x 13.8 in,Print of Conceptual Abstract Paintings,https://images.saatchiart.com/saatchi/659725/art/2648823/1718716-HSC00001-7.jpg,saatchi_art_images/1629.jpg.jpg,Oil on Canvas,Conceptual Abstract,244.26,0
1629,"Echoes Of Her Grace Part C, Paintings",Karenina Fabrizzi,960,17.7 x 20.5 in,Print of Figurative Botanic Paintings,https://images.saatchiart.com/saatchi/115677/art/12872117/11934295-PTKHNTPA-7.jpg,saatchi_art_images/1630.jpg.jpg,Oil Stick on Canvas,Figurative Botanic,362.84999999999997,0
1630,"Tangled No.11, Paintings",Joanna Pongowska,3340,39.4 x 39.4 in,Original Geometric Abstract Paintings,https://images.saatchiart.com/saatchi/1045706/art/12296611/11358807-YDOPDUUL-7.jpg,saatchi_art_images/1631.jpg.jpg,Acrylic on Canvas,Geometric Abstract,1552.36,1
1631,"They Crossed Some Paths (Diptych), Paintings",Rashna Hackett,1860,39.4 x 27.6 in,Original Contemporary Women Paintings,https://images.saatchiart.com/saatchi/792749/art/11497709/10559963-GDHZHORO-7.jpg,saatchi_art_images/1632.jpg.jpg,Acrylic on Paper,Contemporary Women,1087.44,1
1632,"What Goes Around | Deep Slate Blue, Paintings",Michelle Louis,649,12 x 12 in,Print of Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/11426459/10488713-PTIAYTLE-7.jpg,saatchi_art_images/1633.jpg.jpg,Acrylic on Wood,Abstract Expressionism Abstract,144.0,0
1633,"The Other Room V, Paintings",Mieke Jonker,3865,31.5 x 39.4 in,Print of Figurative Home Paintings,https://images.saatchiart.com/saatchi/724095/art/9452487/8515595-DEXOFZAU-7.jpg,saatchi_art_images/1634.jpg.jpg,Acrylic on Canvas,Figurative Home,1241.1,0
1634,"October, Paintings",Vytautas Laisonas,2378,23.6 x 35.4 in,Original Fine Art Landscape Paintings,https://images.saatchiart.com/saatchi/773195/art/8781342/7844814-HSC00923-7.jpg,saatchi_art_images/1635.jpg.jpg,Oil on Canvas,Fine Art Landscape,835.44,1
1635,"The Tomato And The Pink., Paintings",Daniel Malta,2155,42.9 x 49.6 in,Original Expressionism People Paintings,https://images.saatchiart.com/saatchi/415915/art/8596088/7659834-HSC00001-7.jpg,saatchi_art_images/1636.jpg.jpg,Acrylic on Cardboard,Expressionism People,2127.84,1
1636,"A Gust Of Wind, Paintings",Rajasekharan Parameswaran,5370,36 x 48 in,Print of Fine Art People Paintings,https://images.saatchiart.com/saatchi/695576/art/7338619/6407825-HSC00001-7.jpg,saatchi_art_images/1637.jpg.jpg,Oil on Canvas,Fine Art People,1728.0,0
1637,"Resilience, Paintings",Daniel Malta,1605,34.6 x 42.5 in,Original Expressionism Animal Paintings,https://images.saatchiart.com/saatchi/415915/art/6811021/5880659-HSC00002-7.jpg,saatchi_art_images/1638.jpg.jpg,Acrylic on Cardboard,Expressionism Animal,1470.5,1
1638,"Everything'S Gonna Be Alright, Paintings",Daniela Schweinsberg,6669,78.7 x 63 in,Original Contemporary Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/12750673/11812851-JCLXTTWW-7.jpg,saatchi_art_images/1639.jpg.jpg,Acrylic on Canvas,Contemporary Abstract,4958.1,1
1639,"Burning Flowers, Paintings",Sejeong Kang,7660,19.7 x 13 in,Print of Abstract Floral Paintings,https://images.saatchiart.com/saatchi/2186857/art/12694573/11756761-JEDMAVJC-7.jpg,saatchi_art_images/1640.jpg.jpg,Color on Paper,Abstract Floral,256.09999999999997,0
1640,"Untamed Whispers, Paintings",J Jie Li,5300,40 x 45 in,Original Abstract Expressionism Landscape Paintings,https://images.saatchiart.com/saatchi/2515941/art/11943691/11005919-URNCZHYH-7.jpg,saatchi_art_images/1641.jpg.jpg,Watercolor on Paper,Abstract Expressionism Landscape,1800.0,1
1641,"I Will Take What’S Left And Disappear, Paintings",Emmanuel Akolo,1547,24 x 36 in,Original Contemporary Men Paintings,https://images.saatchiart.com/saatchi/1467899/art/10488409/9550901-BTSTANDY-7.jpg,saatchi_art_images/1642.jpg.jpg,Acrylic on Canvas,Contemporary Men,864.0,1
1642,"About Last Night, Paintings",Daniela Schweinsberg,5179,63 x 47.2 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/10090585/9153357-CIIQTGDL-7.jpg,saatchi_art_images/1643.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2973.6000000000004,1
1643,"Jungle44, Paintings",Ron Halfant,423,24 x 30 in,Print of Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/798571/art/9590941/8654041-EQJRXVBF-7.jpg,saatchi_art_images/1644.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,720.0,0
1644,"Life Oh Life, Paintings",Danielle Van Broekhoven,870,6.3 x 8.3 in,Original Abstract Water Paintings,https://images.saatchiart.com/saatchi/694685/art/8420272/7484509-HSC00001-7.jpg,saatchi_art_images/1645.jpg.jpg,Acrylic on Canvas,Abstract Water,52.290000000000006,1
1645,"When Lilacs Bloom, Paintings",Michelle Louis,3673,61 x 43 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/7714558/6782698-FHOJILLV-7.jpg,saatchi_art_images/1646.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2623.0,1
1646,"Lift Me Up, Paintings",Daniela Schweinsberg,2847,11.8 x 63 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/6824483/5894121-HSC00002-7.jpg,saatchi_art_images/1647.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,743.4000000000001,1
1647,"Summerfruits (Watermelon), Paintings",Daniela Schweinsberg,3767,47.2 x 47.2 in,Print of Contemporary Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/12095531/11157729-CAWPIOML-7.jpg,saatchi_art_images/1648.jpg.jpg,Graphite on Canvas,Contemporary Abstract,2227.84,0
1648,"Blue Curves, Paintings",Mister Artsy Urban Streetart Pop Studio Amsterdam,940,30.7 x 41.7 in,Original Street Art Graffiti Paintings,https://images.saatchiart.com/saatchi/84472/art/12015431/11077657-KAKHFRBB-7.jpg,saatchi_art_images/1649.jpg.jpg,Ink on Paper,Street Art Graffiti,1280.19,1
